N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr6:14711570	0.74	0.96	0.56	0.64	0.54	0.67	0.79	0.48	0.57	0.67	0.59	0.62	0.58	0.8	0.57	0.9	0.81	0.5	0.68	0.64	0.73	0.37	0.68	0.53	0.73	0.6	0.77	0.55	0.69	0.76	0.74	0.37	0.5	0.63	0.78	0.7	0.64	0.85	0.64	0.7	0.48	0.64	0.73	0.68	0.72	0.9	0.59	0.56	0.58	0.7	0.64	0.57	0.77	0.71	0.84	0.69	0.85	0.67	0.86	0.71	0.66	0.52	0.77	0.69	0.74	0.75	0.54	0.74	0.59	0.61	0.53	0.68	0.79	0.75	0.68	0.79	0.67	0.81	0.73	0.59	0.91	0.92	0.78	0.87	0.63	0.8	0.66	0.69	0.67	0.68	0.75	0.74	0.76	0.64	0.76	0.56	0.7	0.65	0.69	0.61	0.7	0.73	0.65	0.81	0.7	0.78	0.57	0.68	0.78	0.57	0.72	0.76	0.61	0.65	0.83	0.66	0	0.67	0.72	0.7	0.71	0.59	0.62	0.55	0.67	0.82	0.61	0.65
chr6:16496425	0.81	0.88	0.6	0.67	0.92	0.62	0.78	0.5	0.74	0.58	0.68	0.83	0.67	0.5	0.67	0.85	0.95	0.8	0.67	0.91	0.82	0.54	0.94	0.8	0.68	0.79	0.68	0.72	0.79	0.7	0.75	0.75	0.94	0.67	0.63	0.44	0.81	0.55	0.7	0.77	0.9	0.81	0.84	0.73	0.82	0.82	0.65	0.89	0.78	0.73	0.68	0.65	1	0.83	0.5	0.59	0.38	0.71	0.71	0.87	0.68	0.74	0.81	0.76	0.65	0.6	0.6	0.67	0.72	0.82	0.52	0.62	0.75	0.64	0.84	0.81	0.78	1	0.71	0.67	0.84	0.44	0.78	0.9	0.72	0.67	0.67	0.59	0.79	0.79	0.5	0.75	0.72	0.81	0.56	0.79	0.67	0.81	0.74	0.82	0.57	0.86	0.39	0.7	0.8	0.82	0.85	0.54	0.5	0.8	0.75	0.71	0.85	0.61	0.6	0.8	0.67	0.94	0.79	0.76	0.74	0.92	0.72	0.74	0.68	0.44	0.88	0.67
chr6:16713268	0.75	0.8	0.67	0.73	0.58	0.56	0.48	0.56	0.68	0.5	0.59	0.59	0.47	0.71	0.77	0.52	0.9	0.62	0.64	0.59	0.64	0.79	0.57	0.46	0.63	0.53	0.46	0.76	0.72	0.52	0.54	0.4	0.79	0.6	0.79	0.8	0.34	0.58	0.68	0.48	0.46	0.46	0.6	0.59	0.28	0.65	0.39	0.68	0.61	0.89	0.79	0.74	0.55	0.62	0.9	0.64	0.69	0.66	0.58	0.83	0.74	0.83	0.65	0.74	0.86	0.56	0.69	0.55	0.69	0.53	0.8	0.4	0.3	0.79	0.75	0.81	0.67	0.65	0.71	0.73	0.84	0.8	0.73	0.48	0.78	0.85	0.57	0.5	0.67	0.65	0.65	0.79	0.46	0.32	0.81	0.69	0.65	0.68	0.65	0.39	0.75	0.6	0.74	0.65	0.62	0.43	0.63	0.6	0.91	0.42	0.72	0.79	0.62	0.52	0.64	0.75	0.4	0.33	0.73	0.58	0.83	0.57	0.67	0.56	0.55	0.95	0.61	0.54
chr6:17586033	0.59	0.6	0.5	0.38	0.5	0.5	0.5	0.71	0.67	0.14	0.6	0.53	0.7	0.44	0.43	0.4	0.56	0	0.4	0.64	0.36	0.58	0.47	0	0.55	0.7	0.57	0.6	0.75	0.6	0.5	0.5	0.6	0.57	0.38	0.29	0.6	0.5	0.38	0	0.38	0.5	0.64	0.45	0.33	0.5	0.67	0.73	0.59	0.23	0.47	0.67	0.59	0.55	0.57	0.5	0.57	0.6	0.38	0.5	0.42	0.73	0.8	0.44	0.36	0.33	0.5	0.22	0.61	0.67	0.32	0.36	0.67	0.7	0.38	0.75	0	0.71	0.4	0.4	0.46	0.45	0.6	0.67	0.44	0.56	0.65	0.59	0.45	0.62	0.55	0.53	0.58	0.67	0.44	0.78	0.6	0.24	0.42	0.45	0.62	0.23	0.48	0.38	0.56	0.63	0.7	0.53	0.29	0.62	0.5	0.4	0.69	0.67	0.36	0.4	0.17	0	0.56	0.67	0.27	0.6	0.7	0.31	0.82	0.29	0.87	0.5
chr6:17907887	0.72	0.81	0.68	0.7	0.76	0.79	0.68	0.66	0.67	0.58	0.61	0.56	0.43	0.86	0.75	0.58	0.66	0.63	0.82	0.47	0.8	0.76	0.67	0.69	0.52	0.88	0.89	0.73	0.77	0.78	0.5	0.67	0.58	0.83	0.76	0.68	0.55	0.62	0.68	0.54	0.5	0.47	0.62	0.7	0.71	0.64	0.56	0.68	0.53	0.69	0.85	0.73	0.58	0.44	0.88	0.67	0.91	0.91	0.71	0.65	0.73	0.81	0.59	0.62	0.91	0.88	0.83	0.92	0.57	0.46	0.73	0.78	0.63	0.58	0.63	0.67	0.75	0.59	0.74	0.7	0.68	0.89	0.71	0.58	0.56	0.68	0.67	0.78	0.64	0.89	0.56	0.83	1	0.71	0.77	0.81	0.65	0.73	0.66	0.88	0.6	0.6	0.85	0.76	0.77	0.73	0.65	0.72	0.72	0.67	0.57	0.9	0.65	0.72	0.72	0.83	0.67	0.53	0.81	0.83	0.85	0.63	0.59	0.81	0.56	0.86	0.73	0.81
chr6:18302908	0.44	0.6	0.73	0.5	0	0.33	0.71	0.69	0.8	0.29	0.56	0.45	0.69	0.57	0.79	0.5	0.4	0.4	0.56	0.89	0.43	0.62	0.38	0.75	0.58	0.9	0.57	0.29	0	0.62	0.33	0.67	0	0.71	1	0.43	0.67	0	0.33	0.8	0	0	0	0.9	0.53	1	0.57	0.82	0.45	0.67	0.76	0.88	0.74	0.18	0.67	0.82	0.57	1	0.69	0.86	0.5	0.88	0.82	0.78	0.86	0.91	0.67	0.4	0.57	0	0.65	0.52	0.67	0.37	0.43	0	0	0	0.45	0.77	0	0.58	0	0.56	0	0.48	0.69	0.62	1	0.82	0.53	0.73	0.44	0.77	0.64	0.43	1	0.6	0.8	0	0.6	0.9	0.82	0.56	0.4	0.8	0.5	0.6	0.5	0.78	0	0.67	0.4	0	0.5	0.73	0	0.5	0.79	0.33	0.64	0	0.33	0.71	0.56	0.56	0.69	0
chr6:19211690	1	0	0	0.86	0	0.71	0	0.57	0.71	0	0	0.57	0	1	0.73	0	0.83	0	0	0.56	0	0.67	0	0	0	1	0.71	0	0	0.9	0	0	0	0	0	0	0.8	1	0	0	1	0	0	1	0.62	0.67	1	0.8	0	0.71	0.71	0	0.71	0.62	0.83	0	0	1	0.67	0	0	0.83	0	1	0	1	0.83	0.86	0.83	0	0.77	0.94	0	0.65	0.91	0	0	0	0	1	0.8	0	0	0	0	0.93	0	0.67	0.83	0.62	0.75	0.89	0.82	1	0	0	0	1	1	0	0	1	0.85	0	0.91	0	1	0.86	0	0.83	0	0	0	0	1	0	0	0	1	0	0.88	0	0.91	0.6	0	0.92	1	0
chr6:24054593	0	0.8	0	0.6	0	0	1	0.67	0	0.71	0.75	0.43	1	0.5	0.56	0	0	0	0.42	0.78	0	0.62	0.2	0	0.64	0	0	0.86	0	1	0	0	0.8	0	0.8	0.8	0	0	0.8	0	0.25	0.8	0.4	0.78	0.75	0.71	0	0.71	0	1	0.82	0	0.67	0.83	1	0.8	0.8	0.78	0.85	0	0	0.75	0.86	0.7	0	0.8	0.78	0.83	0.5	0.8	0.78	1	0	0.92	0.5	0.4	0	0.88	0.71	0.67	0.45	0.83	0	0.57	0	0.76	0.75	0.75	0	0.87	0.8	0.89	0.6	0.62	0.8	0	1	0.83	0	0.89	0	1	0.3	0.6	0.33	1	0.56	0.75	1	1	0.6	0	0.67	0	0.83	0	0	0	0.8	0.86	0.88	0	0.5	1	1	0.75	0.67	0.67
chr6:24902939	0.27	0.57	0.58	0.77	0.58	0.5	0.62	0.43	0.6	0.33	0.35	0.31	0.57	0.75	0.65	0.38	0.5	0.29	0.83	0.56	0.6	0.54	0.58	0.46	0.18	0.69	0.15	0.5	0.12	0.25	0.33	1	0.46	0.6	0.5	0.36	0.6	0	0.4	0	0.38	0.23	0.4	0.53	0.5	0.46	0.33	0.67	0.47	0.58	0.53	0.62	0.33	0.5	0.57	0.36	0.6	0.6	0.63	0.62	0.89	0.43	0.4	0.56	0.79	0.31	0.47	0.15	0.58	0.55	0.55	0.46	0.33	0.58	0	0.5	0.57	0.86	0.44	0.39	0.35	0.71	0.75	0.44	0.6	0.43	0.53	0.45	0.64	0.54	0.67	0.58	0.5	0.6	0.5	0.25	0.38	0.36	0.54	0.4	0.4	0.61	0.58	0.7	0.53	0.4	0.4	0.25	0.8	0.39	0.9	0.67	0.78	0.56	0.44	0.54	0.8	0.67	0.52	0.2	0.54	0.6	0.36	0.29	0.67	0.81	0.57	0.83
chr6:25013324	0.45	0.86	0.56	0.69	0.4	0.77	0.57	0.39	0	0.73	0.77	0.64	1	0.88	0.64	0.67	0.83	0	0.88	0.73	0.86	0.67	0.71	0.33	0.67	0.75	0.8	0.6	0.5	1	0	0.67	0.38	0.83	0.56	0.73	0.78	0.91	0.58	0.43	0.86	0.7	0.85	0.83	0.65	0.77	0.56	0.67	0.64	0.5	0.61	0.67	0.62	0.5	0.8	0.8	0.81	0.91	0.77	0.43	0.75	0.83	0.6	0.82	1	0.75	0.77	0.55	0.77	1	0.7	0.67	0.57	0.67	0.71	1	0	0.86	0.57	0.59	1	0.7	1	0	0.71	0.9	0.45	0.71	0.8	0.8	1	0.77	0.73	0.61	0.89	0.83	0.69	0.73	0.88	1	0	0.8	0.9	0.5	0.83	0.83	0.75	0.78	0.87	0.67	1	0.4	0.71	0.8	0.87	1	0	0.58	0.81	0.62	0.77	0	0.81	0.7	0.54	0.84	0.77	1
chr6:25042727	0.86	1	0.75	0.7	0	0	0	0	0.67	0	0	0.89	0.6	0.86	0	0.67	0.67	0	1	0.74	0	0.71	1	1	0.8	0	0.86	0.8	0	0	0	0.8	0	0.5	1	0	0	1	0	0.86	1	0.67	1	0.83	0	0.43	0	0	0	0.83	0.8	0	0.89	0	1	0.86	1	0.83	1	0.67	0	1	0.8	0.89	0.67	1	0	0.83	0.75	1	0.78	0.93	0.67	1	0	0	0	0.89	0.67	1	1	0	0	0.6	0	0.88	0.7	0.86	0	1	1	0	1	0.56	0	0	0	1	0.88	0	0.83	0.67	0.8	0.75	0.64	0	0.57	0.67	0	0	0	0	0	0	0.71	1	0	0	1	0.78	0.75	1	0.7	0.78	1	0.91	0.6	0
chr6:26319588	0.75	0	0.62	0	0.5	0.4	0.88	0.78	0	0.5	0.67	0.64	0.75	0.4	0.75	0.86	0	0	0.62	0.64	0	0	0.89	0	0.56	1	0.86	0.83	0.8	0	0	0.75	0.8	0	0	0	0.8	1	0.67	0.67	0.8	0.38	0	0	0.5	0.88	0.88	0.56	0.75	0.85	0	0.8	0.38	0.6	0	0.83	0.6	0.6	0.89	0.6	1	0	0.82	0.79	0	0.75	0.73	0.8	0.67	0.71	0.4	0.75	0	0.75	0.83	0.62	1	0.89	0.57	0.91	0.5	1	0	0.4	0	0.69	0.5	0.8	0	0.73	0.78	0.67	0.6	0.8	0	0	0.83	1	0.88	0.57	0.57	1	0.86	0.9	0.73	0.67	0.83	0	0.91	0.9	0	0	0.73	0	0.73	1	0	0.6	0.62	0	0.67	0.5	0.8	0.88	0.2	0.6	0.62	0
chr6:26592726	0.44	0.43	0.39	0.52	0.54	0.55	0.34	0.53	0.89	0.57	0.33	0.4	0.62	0.76	0.47	0.45	0.69	0.36	0.62	0.29	0.5	0.52	0.5	0.55	0.41	0.33	0.48	0.22	0.33	0.5	0.37	0.3	0.45	0.65	0.69	0.57	0.6	0.52	0.44	0.57	0.74	0.32	0.35	0.53	0.1	0.42	0.3	0.53	0.47	0.48	0.48	0.31	0.44	0.44	0.21	0.41	0.28	0.38	0.55	0.49	0.45	0.71	0.44	0.41	0.41	0.46	0.5	0.45	0.52	0.5	0.38	0.42	0.37	0.45	0.52	0.36	0.45	0.64	0.58	0.34	0.38	0.5	0.63	0.34	0.6	0.47	0.62	0.38	0.57	0.41	0.42	0.41	0.36	0.52	0.46	0.77	0.59	0.5	0.42	0.68	0.5	0.52	0.52	0.36	0.36	0.48	0.41	0.39	0.74	0.32	0.59	0.48	0.24	0.36	0.44	0.54	0.62	0.29	0.52	0.49	0.52	0.38	0.62	0.52	0.38	0.57	0.34	0.42
chr6:27375976	0.74	0.77	0.51	0.71	0.61	0.59	0.47	0.57	0.83	0.62	0.63	0.69	0.6	0.68	0.69	0.6	0.56	0.54	0.76	0.62	0.59	0.87	0.71	0.8	0.65	0.77	0.57	0.77	0.61	0.71	0.67	0.77	0.41	0.43	0.72	0.74	0.69	0.68	0.7	0.57	0.8	0.54	0.64	0.75	0.76	0.83	0.61	0.77	0.69	0.67	0.74	0.58	0.56	0.69	0.55	0.61	0.76	0.58	0.66	0.84	0.65	0.58	0.54	0.79	0.68	0.6	0.68	0.63	0.5	0.67	0.48	0.68	0.63	0.65	0.43	0.72	0.6	0.59	0.74	0.73	0.62	0.61	0.82	0.58	0.76	0.75	0.62	0.78	0.62	0.68	0.7	0.44	0.66	0.82	0.44	0.53	0.57	0.69	0.62	0.47	0.68	0.83	0.86	0.67	0.65	0.43	0.77	0.87	0.76	0.66	0.63	0.61	0.67	0.62	0.72	0.78	0.33	0.7	0.7	0.55	0.64	0.67	0.31	0.48	0.36	0.76	0.59	0.77
chr6:27496168	0.71	0.2	0.33	0	0.6	0.4	0.6	0.38	0.4	0	0.33	0.5	0	0.83	0.5	0.4	0	0	0.67	0.75	0	0.43	0.43	0	0.4	0.75	0.71	0.5	0	0.45	0	0	0.5	0	0.8	0	0.83	0	1	0	0.83	0.5	0	0.6	0.58	1	0	0.67	0.6	0.5	0.4	0.62	0.6	0.38	1	0.2	0.86	0.31	0.7	0.86	0	0	0.33	0.4	0.7	0.6	0.43	0.33	0.62	0.8	0.71	0.33	0	0.6	0.78	0	0	0.83	0.5	0.67	0.88	0	0.86	0.4	0	0.85	0.78	0	0	0.46	0.4	0.33	0.4	0.64	0	0	0	0	0	0.43	0	0.4	0	0.57	1	0.75	0.6	0.75	0	0.62	0	0.75	0.29	0	0.64	0	0	0.38	0.12	0.4	0.5	0.67	0.55	0.75	0.83	0.5	0.5	0
chr6:28384052	0.62	0.82	0.75	0.78	0.71	0.38	0.74	0.6	0.83	0	0.53	0.69	0.88	0	0.75	0.75	0.71	0.44	0.65	0.6	0.71	0.68	0.52	0.8	0.73	0.75	0.71	0.5	0.78	0.87	0.8	0.74	0.89	0.75	0.45	0.67	0.77	0.65	0.67	0.67	0.79	0.78	0.67	0.6	0.76	0.75	0.86	0.6	0.5	0.64	0.87	0.69	0.78	0.82	0.92	0.79	0.92	0.79	0.72	0.67	0.84	0.47	0.86	0	0.43	0.56	0.73	0.33	0.83	0.82	0.54	0	0.77	0.74	0.8	1	0	0.65	0.56	0.63	0.79	0.91	0.75	0.71	0.38	0.76	0.68	0.86	0.59	0.57	0.62	0.71	0.53	0.79	0.75	0	0.67	0.57	0.58	0.78	0.79	0.5	0.87	0.73	0.5	0.56	0.77	0.74	0.87	0.85	0.75	0.8	0.46	0.92	0.85	0.55	0	0.69	0.63	0.73	0.55	0.75	0.86	0.65	0.6	0.77	0.88	0
chr6:28397317	0.71	0.71	0.64	0.55	0.69	0.44	0.53	0.68	0.5	0.64	0.48	0.68	0.64	0.62	0.53	0.5	0.5	0.8	0.61	0.59	0	0.75	0.67	0.58	0.56	0.64	0.44	0.79	0.43	0.5	0.33	0.67	0.5	0.7	0.5	0.22	0.42	0.4	0.58	0.44	0.57	0.6	0.67	0.54	0.41	0.65	0.5	0.44	0.7	0.44	0.32	0.41	0.36	0.55	0.5	0.57	0.32	0.57	0.5	0.5	0.75	0.67	0.4	0.64	0.33	0.56	0.45	0.53	0.25	0.67	0.48	0.59	0.58	0.44	0.82	0.86	0.7	0.5	0.62	0.44	0.56	0.75	0.5	0.74	0	0.67	0.55	0.53	0.5	0.73	0.53	0.44	0.73	0.35	0.67	0.33	0.58	0.33	0.67	0.67	0.71	0.69	0.6	0.71	0.47	0.54	0.64	0.86	0.64	0.39	0.88	0.43	0.75	0.33	0.38	0.81	0	0.82	0.56	0.4	0.7	0.54	0.69	0.79	0.45	0.44	0.52	0.33
chr6:28841508	0.5	0.87	0.38	0.27	0.35	0.3	0.35	0.4	0.4	0.41	0.19	0.29	0.56	0.4	0.37	0.33	0.75	0.33	0.47	0	0.5	0.32	0.55	0.47	0.4	0.55	0.29	0.55	0.26	0.33	0.32	0.3	0.17	0.55	0.71	0.64	0.44	0.29	0.25	0.42	0.38	0.38	0.54	0.5	0.4	0.54	0.31	0.25	0.61	0.41	0.4	0.62	0.11	0.43	0.41	0.3	0.75	0.52	0.65	0.63	0.3	0.41	0.24	0.41	0.35	0.21	0.24	0.27	0.32	0.67	0.2	0.43	0.47	0.33	0.23	0.47	0.6	0.24	0.5	0.31	0.45	0.47	0.5	0.18	0.27	0.67	0.55	0.52	0.58	0.35	0.52	0.36	0.47	0.43	0.3	0.38	0.43	0.44	0.41	0.23	0.1	0.45	0.17	0.42	0.52	0.2	0.29	0.31	0.36	0.48	0.57	0.43	0.33	0.56	0.32	0.23	0.43	0.3	0.47	0.17	0.65	0.67	0.22	0.67	0.27	0.75	0.54	0.54
chr6:28869078	0.83	0.6	0.47	0.67	0.67	0.36	0.53	0.5	0.5	0.65	0.61	0.71	0.57	0.77	0.74	0.78	0.9	1	0.78	0.8	0.83	0.72	0.64	0.85	0.71	0.5	0.63	0.81	0.58	0.73	0.86	0.71	0.27	0.7	0.5	0.73	0.79	0.76	0.58	0.58	0.72	0.67	0.73	0.65	0.43	0.68	0.36	0.61	0.53	0.64	0.86	0.79	0.83	0.75	0.71	0.8	0.85	0.74	0.69	0.62	0.61	0.92	0.82	0.68	0.84	0.75	0.68	0.74	0.89	0.12	0.88	0.77	0.86	0.81	0.75	0.94	0.67	0.88	0.71	0.58	0.78	0.55	0.85	0.62	0.76	0.89	0.79	0.72	0.71	0.79	0.55	0.7	0.68	0.85	0.59	1	0.64	0.65	0.5	0.5	0.56	0.64	0.74	0.36	0.64	0.73	0.64	0.87	0.59	0.57	0.7	0.87	0.79	0.69	0.7	0.65	0.71	0.5	0.71	0.6	0.69	0.9	0.73	0.71	0.67	0.69	0.74	0.75
chr6:29426877	0.9	0.82	0.5	0.81	0.57	0.73	0.57	0.48	0.67	0.8	0.9	0.6	0.62	0.44	0.78	0.75	0.44	0.44	0.6	0.57	0.88	0.65	0.58	0.69	0.43	0.67	0.62	0.4	0.53	0.52	0.6	0.47	0.56	0.77	0.17	0.55	0.77	0.61	0.52	0.7	0.69	0.57	0.7	0.67	0.48	0.81	0.59	0.53	0.59	0.47	0.94	0.84	0.73	0.42	0.5	0.56	0.29	0.76	0.63	0.36	0.44	0.6	0.6	0.7	0.83	0.7	0.56	0.83	0.64	0.38	0.45	0.67	0.7	0.54	0.53	0.53	0.42	0.79	0.59	0.7	0.29	0.48	0.33	0.88	0.2	0.42	0.69	0.36	0.73	0.39	0.46	0.65	0.73	0.76	0.53	0.29	0.64	0.61	0.59	0.75	0.78	0.69	0.33	0.5	0.38	0.8	0.57	0.64	0.76	0.5	0.89	0.73	0.5	0.64	0.66	0.8	0	0.91	0.52	0.42	0.58	0.6	0.7	0.55	0.61	0.62	0.87	0.67
chr6:29510232	0.71	0	0.5	0.7	0.5	0.56	0.53	0.82	0.45	0.62	0.67	0.67	0.56	0.83	0.79	0.73	0.75	0	0.82	0.56	0.4	0.82	0.56	0.6	0.58	0.67	0.43	0.64	0.64	0.14	0.8	0	0.6	0	1	0.7	0.8	0.67	0	1	0.46	0.5	0.89	0.5	0.62	0.86	0.45	0.88	0.55	0.64	0.87	0.54	0.69	0.56	0.69	0.5	0.6	0.5	0.8	0.55	0.82	0.92	1	0.65	1	0.62	0.67	0.75	0.7	0.6	0.57	0.53	0	0.61	0.82	0.55	0	0.75	0.73	0.73	0.53	0.82	0	0.4	0.5	0.86	0.69	0.62	0.88	0.7	0.72	0.67	0.54	0.82	0.89	0	0.88	0.38	0.4	1	0.71	0.77	0.42	0.71	0.73	0.78	0.79	0.58	0.58	0.69	1	0.5	0.5	1	0.61	0.38	0	0.29	0.58	0.27	0.45	0.67	0.5	0.64	0.73	0.81	0.55	0.57
chr6:30238902	0.83	0	0.46	0.89	0.67	0.73	0.6	0.71	0.87	0.75	0.71	0.51	1	0.5	0.71	0.4	0.71	0.67	0.83	0.69	0.78	0.73	0.81	0.79	0.71	0.56	0.45	0.74	0.83	0.82	0.71	0.75	0.46	0.67	0.78	0.64	0.8	0.82	0.43	0.55	0.5	0.62	0.75	0.6	0.6	0.62	0.71	0.74	0.71	0.68	0.67	1	0.55	0.64	0.95	0.7	0.94	0.77	0.67	0.88	0.87	0.79	0.73	0.71	0.48	0.78	0.71	0.61	0.56	0.67	0.59	0.64	0.64	0.81	0.71	0.53	0	0.89	1	0.5	0.7	0.8	0.5	0.85	0.62	0.74	0.67	0.59	0.6	0.78	0.67	0.75	0.5	0.39	0.81	0.86	0.67	0.53	0.68	0.45	0	0.86	0.62	0.73	0.75	0.61	0.81	0.82	0.76	0.57	0.29	1	0.23	0.67	0.67	0.75	0	0.64	0.81	0.71	0.56	0.62	0.86	0.57	0.58	0.78	0.68	0
chr6:31044479	0.88	0	0.38	0.73	1	0	0.64	0.83	0	0	0.62	0.83	0	1	0.5	0	0	0	0.92	0.5	0	0.75	1	0.83	1	0	0.8	0.89	0	0	1	0	0	0	0	0.86	0.83	0	0.83	0.17	0.9	0.62	0.67	0.82	1	0.6	0.8	0.67	0.8	0	0.75	0	1	0.88	0.75	0.57	0	0.86	0.75	0.4	0.88	0	0.6	0.92	0.5	0.17	0.71	0.17	0.88	1	0.53	0.73	0	0.88	0	0.8	0	0	0.8	0	0.33	0.83	0	1	0	0.79	1	1	1	0.85	0	0.88	0.45	1	0.6	0	1	1	0	0	0.83	0.62	0.93	0	0.79	0.4	0.88	0.89	0	0.62	0	0	0	0	0.62	0.5	0	0.83	0.79	0.67	0.71	0	0.9	0.75	1	0.81	0.62	0.4
chr6:31070988	0.53	1	0	0.45	0.2	0.67	0.56	0.25	0	0.4	0.45	0.25	0.4	0.36	0.33	0.8	0.48	0	0.43	0.54	0	0.33	0.25	0.42	0.5	0.5	0.64	0.5	0	0.41	0.6	0	0.4	0	0	0.56	0.75	0.5	0	0.33	0.62	0.31	0.19	0.5	0.82	0.8	0.75	0.75	0.64	0.44	0.27	0.25	0.6	0.58	0.6	0.4	0.45	0.7	0.42	0.45	0.58	0.78	0.25	0.8	0.42	0.55	0.5	0.43	0.6	0.44	0.67	0.55	0.75	0.42	0.5	0.3	0.5	0.7	0.22	0.5	0.67	0.62	0.88	1	0	0.71	0.5	0.22	0	0.48	0.44	0.54	0.42	0.5	0.31	0	0.14	0.56	0.45	0	0.88	0.71	0.59	0.43	0.67	0.33	0.87	0.38	0.38	0.4	0.5	0.71	0.38	0.25	0.41	0.2	0	0.6	0.47	0.17	0.5	0	0.27	0	0.4	0.23	0.32	0.8
chr6:31463535	0.3	0	0.29	0	0.18	0.18	0.47	0.47	0.15	0.19	0.29	0.42	0	0.2	0.31	0.23	0.38	0.67	0.31	0.23	0.2	0.38	0.36	0.38	0.2	0.25	0.3	0.29	0.56	0.4	0.43	0.64	0.58	0	0	0.12	0	0.4	0.3	0.38	0.2	0.5	0.44	0.38	0.58	0.4	0.62	0.38	0.12	0.2	0.82	0.17	0.45	0.44	0.45	0.33	0.56	0.21	0.5	0.31	0.25	0.12	0.1	0.33	0.15	0.21	0.33	0.2	0.37	0.3	0.5	0.36	0.22	0.2	0.2	0.14	0.4	0.14	0.3	0.5	0.4	0	0.33	1	0	0.26	0.12	0.36	0.25	0.43	0	0.36	0.42	0.14	0.4	0.44	0.29	0.38	0.3	0.22	0.36	0.33	0.2	0.6	0.29	0.33	0.36	0.5	0.19	0.4	0	0.55	0.29	0	0.4	0	0	0.12	0.57	0.27	0.2	0.4	0.2	0.58	0	0.3	0.44	0.5
chr6:31574682	0.68	0.9	0.5	0.73	0.4	0.27	0.41	0.4	0.36	0.08	0.56	0.82	0.67	0.59	0.72	0.7	0.4	0.62	0.82	0.67	0.7	0.89	0.64	0.74	0.8	0.61	0.43	0.65	0.62	0.83	0.65	0.64	0.56	0.58	0.67	0.67	0.68	0.61	0.71	0.78	0.62	0.36	0.57	0.63	0.73	0.77	0.62	0.7	0.86	0.83	0.87	0.82	0.74	0.47	0.8	0.84	0.54	0.82	0.75	0.79	0.58	0.64	0.5	0.73	0.59	0.8	0.62	0.69	0.72	0.64	0.73	0.58	0.62	0.74	0.69	0.65	0.57	0.9	0.5	0.59	0.71	0.86	1	0.72	0.8	0.65	0.76	0.57	0.76	0.85	0.72	0.62	0.59	0.71	0.67	0.78	0.86	0.35	0.75	0.61	0.8	0.69	0.74	0.73	0.54	0.65	0.67	0.63	0.68	0.82	0.92	0.74	0.42	0.79	0.67	0.59	1	0.58	0.61	0.78	0.69	0.71	0.56	0	0.52	0.68	0.58	0.8
chr6:31597274	0.5	0	0	0.57	0	0	0.2	0.6	0.75	0.2	0.5	0.31	0	0.17	0.53	0	0.62	0	0.64	0.54	0	0.33	0.7	0	0.67	0	0.36	0.5	0.2	0	0	0	0	0	0.4	0.6	0	0	0	0.36	0.27	0.2	0.45	0.5	0.29	0.4	0.44	0.3	0	0.7	0.2	0	0.67	0.4	0.43	0	0	0.5	0.4	0	0.4	0.4	0	0.44	0.6	0.55	0.75	0.67	0	0.43	0.77	0.73	0	0.45	0.29	0.38	0.5	0	0.75	0.22	0.67	0.8	0.5	0.67	0	0.64	0.33	0.29	0.17	0.55	0.71	0.57	0.36	0.46	0.4	0	0.38	0	0.8	0.4	0.57	0	0.8	0.3	0.33	0.38	0.14	0.62	0.38	0.45	0.8	0	0.6	0.8	0.4	0.67	0	0	0.33	0.17	0.78	0	0.82	0.3	0	0.62	0.38	0.6
chr6:31717663	0.5	0	0.29	0.3	0	0	0.36	0	0.4	0	0.38	0.5	0.5	0	0.18	0	0.5	0	0.3	0.67	0	0.25	0.62	0.33	0.78	0.6	0.5	0.57	0	0	0	0.8	0	0.17	0	0.42	0.5	1	0.6	0.33	0.33	0.88	0.67	0.62	0.67	0.45	0.62	0.12	0	0.12	0.36	0.35	0.89	0.88	0.3	0.5	0.2	0.7	0.43	0.38	0.2	0.55	0.55	0.27	0.5	0.67	0.4	0.44	0.6	0.6	0.86	0.23	0	0.33	0.5	0.57	0.5	0.11	0	0.25	0.33	0.57	0	0	0	0.67	0.75	0.62	0.29	0.43	0	0	0.73	0.69	0.86	0.8	0.57	0.33	0.33	0.8	0	0.25	0.45	0	0.33	0.55	1	0.2	0.5	0.6	0.22	0	0.8	0.57	0.6	0.38	0	0	0	0.62	0.36	0	0.67	0.29	0.75	0.44	0.58	0.43
